pages,period,count,share
2.0,post,11564,0.12708250912128005
3.0,post,7685,0.08445426172579014
4.0,post,5528,0.06074992307354169
5.0,post,4344,0.047738362125807725
6.0,post,3317,0.03645215174293376
7.0,post,2686,0.029517781001362698
8.0,post,2201,0.024187876390170997
9.0,post,1857,0.020407490439140183
10.0,post,1484,0.016308409160842235
11.0,post,1246,0.013692909578443008
12.0,post,1096,0.012044485471888874
13.0,post,903,0.009923513121455889
14.0,post,817,0.008978416633698184
15.0,post,694,0.007626708866323794
16.0,post,602,0.006615675414303925
17.0,post,544,0.00597828475976966
18.0,post,464,0.005099125236274122
19.0,post,427,0.004692513956657435
20.0,post,340,0.0037364279748560375
21.0,post,309,0.0033957536595015164
22.0,post,291,0.0031979427667150205
23.0,post,263,0.0028902369334915822
24.0,post,239,0.0026264890764429207
25.0,post,215,0.002362741219394259
26.0,post,187,0.0020550353861708208
27.0,post,193,0.002120972350432986
28.0,post,170,0.0018682139874280188
29.0,post,162,0.001780298035078465
30.0,post,142,0.0015605081542045805
31.0,post,126,0.0013846762495054728
32.0,post,108,0.0011868653567189767
33.0,post,91,0.0010000439579761747
34.0,post,87,0.0009560859818013978
35.0,post,94,0.0010330124401072575
36.0,post,79,0.000868170029451844
37.0,post,75,0.0008242120532770672
38.0,post,47,0.0005165062200536288
39.0,post,90,0.0009890544639324806
40.0,post,73,0.0008022330651896787
41.0,post,55,0.0006044221724031825
42.0,post,54,0.0005934326783594883
43.0,post,44,0.00048353773792254607
44.0,post,37,0.00040661127961668644
45.0,post,36,0.0003956217855729922
46.0,post,39,0.0004285902677040749
47.0,post,34,0.00037364279748560374
48.0,post,48,0.0005274957140973229
49.0,post,48,0.0005274957140973229
50.0,post,36,0.0003956217855729922
51.0,post,24,0.00026374785704866147
52.0,post,35,0.000384632291529298
53.0,post,36,0.0003956217855729922
54.0,post,27,0.00029671633917974417
55.0,post,21,0.0002307793749175788
56.0,post,33,0.0003626533034419095
57.0,post,18,0.0001978108927864961
58.0,post,19,0.00020880038683019034
59.0,post,25,0.0002747373510923557
60.0,post,19,0.00020880038683019034
61.0,post,17,0.00018682139874280187
62.0,post,17,0.00018682139874280187
63.0,post,21,0.0002307793749175788
64.0,post,13,0.00014286342256802497
65.0,post,14,0.0001538529166117192
66.0,post,9,9.890544639324805e-05
67.0,post,14,0.0001538529166117192
68.0,post,14,0.0001538529166117192
69.0,post,13,0.00014286342256802497
70.0,post,13,0.00014286342256802497
71.0,post,16,0.00017583190469910767
72.0,post,11,0.00012088443448063652
73.0,post,14,0.0001538529166117192
74.0,post,17,0.00018682139874280187
75.0,post,11,0.00012088443448063652
76.0,post,8,8.791595234955383e-05
77.0,post,2,2.1978988087388458e-05
78.0,post,9,9.890544639324805e-05
79.0,post,10,0.00010989494043694228
80.0,post,11,0.00012088443448063652
81.0,post,11,0.00012088443448063652
82.0,post,5,5.494747021847114e-05
83.0,post,7,7.69264583058596e-05
84.0,post,12,0.00013187392852433074
85.0,post,3,3.2968482131082684e-05
86.0,post,8,8.791595234955383e-05
87.0,post,4,4.3957976174776917e-05
88.0,post,6,6.593696426216537e-05
89.0,post,4,4.3957976174776917e-05
90.0,post,7,7.69264583058596e-05
91.0,post,2,2.1978988087388458e-05
92.0,post,6,6.593696426216537e-05
93.0,post,6,6.593696426216537e-05
94.0,post,8,8.791595234955383e-05
95.0,post,8,8.791595234955383e-05
96.0,post,3,3.2968482131082684e-05
97.0,post,5,5.494747021847114e-05
